id 	 symbal	     lable	     description
3277 	 /m/021yzs 	 Tim Roth	 English actor 
3278 	 /m/02211by 	 chief technology officer	 executive-level position focusing on scientific and technological issues 
3279 	 /m/0221g_ 	 Texas Christian University	 private university in Fort Worth, Texas, USA 
3280 	 /m/0221zw 	 Sex, Lies, and Videotape	 1989 film by Steven Soderbergh 
3281 	 /m/0222qb 	 Italians	 nation and ethnic group native to Italy 
3282 	 /m/02237m 	 Central Saint Martins	 public tertiary art school in London, England 
3283 	 /m/02238b 	 Jimmy Kimmel	 American TV personality 
3284 	 /m/0223bl 	 Crystal Palace F.C.	 English association football league club based in London 
3285 	 /m/0223g8 	 Daws Butler	 voice actor 
3286 	 /m/0223xd 	 Bancroft Prize	 award 
3287 	 /m/022411 	 Marcia Gay Harden	 American actress 
3288 	 /m/02245 	 Communist Party of the Soviet Union	 political party founded in 1912 
3289 	 /m/0225bv 	 University of Louisville	 university in Kentucky 
3290 	 /m/0225v9 	 Northeastern University	 private university in Boston, Massachusetts, USA 
3291 	 /m/0225z1 	 Eidos Interactive	 British video game publisher 
3292 	 /m/0226cw 	 John Dingell, Jr.	 American politician 
3293 	 /m/0226k3 	 Westfield Group	 Australian shopping centre group 
3294 	 /m/022769 	 Judd Nelson	 American actor 
3295 	 /m/02278y 	 anti-folk	 music genre 
3296 	 /m/02279c 	 Rotherham United F.C.	 English association football club 
3297 	 /m/0227tr 	 Brendan Fraser	 actor 
3298 	 /m/0227vl 	 Paris Hilton	 American socialite and television personality 
3299 	 /m/022840 	 American Indian Wars	 multiple conflicts between American settlers or the federal government and the native peoples of North America 
3300 	 /m/0229rs 	 Rhino Entertainment	 American record label 
3301 	 /m/022_6 	 Cheshire	 ceremonial county in England 
3302 	 /m/022_lg 	 William Friedkin	 American film director, producer and screenwriter 
3303 	 /m/022_q8 	 Mike Leigh	 British writer and director of film and theatre 
3304 	 /m/022b_ 	 Casablanca	 city in Morocco 
3305 	 /m/022dp5 	 Polish American	 ethnic group 
3306 	 /m/022fdt 	 Armenians	 ethnic group native to the Armenian Highland 
3307 	 /m/022fhd 	 Stalybridge Celtic F.C.	 None 
3308 	 /m/022fj_ 	 Florida International University	 university 
3309 	 /m/022g44 	 David Hemmings	 actor, boy soprano, film director, film producer, screenwriter 
3310 	 /m/022h5x 	 Bachelor of Business Administration	 academic degree 
3311 	 /m/022jr5 	 Memorial University of Newfoundland	 University in Newfoundland, Canada 
3312 	 /m/022kcs 	 Royal Victorian Order	 series of awards in an order of chivalry of the United Kingdom 
3313 	 /m/022lly 	 Ball State University	 public university in Muncie, Indiana, United States 
3314 	 /m/022p06 	 Samuel Goldwyn	 Polish-American film producer 
3315 	 /m/022q32 	 Nicole Richie	 American television personality, musician, actress, and author 
3316 	 /m/022q4j 	 Cesar Romero	 American actor 
3317 	 /m/022q4l9 	 Patrick Gallagher	 Canadian actor 
3318 	 /m/022qqh 	 curator	 content specialist charged with an institution's collections and involved with the interpretation of heritage material 
3319 	 /m/022qw7 	 Patrick McGoohan	 actor 
3320 	 /m/022r38 	 Columbia University Graduate School of Journalism	 journalism school at Columbia University 
3321 	 /m/022s1m 	 John DiMaggio	 American voice actor and comedian 
3322 	 /m/022tfp 	 Sky 1	 television channel 
3323 	 /m/022tq4 	 Lucknow	 capital of Uttar Pradesh, India 
3324 	 /m/022tzk 	 Palomar Observatory	 observatory in Southern California 
3325 	 /m/022wxh 	 Todd Haynes	 American film director and screenwriter 
3326 	 /m/022xml 	 Furman University	 private liberal arts college in Greenville, South Carolina, United States 
3327 	 /m/022yb4 	 Jimmy Smits	 American actor 
3328 	 /m/022zq3 	 BBC Three	 television channel operated by the BBC 
3329 	 /m/02301 	 City College of New York	 senior college of the City University of New York (CUNY) in New York City 
3330 	 /m/0230rx 	 St. Johnstone F.C.	 football club based in Perth, Scotland 
3331 	 /m/0232lm 	 Andrew W.K.	 American singer-songwriter 
3332 	 /m/023322 	 Bill Bruford	 English drummer 
3333 	 /m/023361 	 Jerry Goldsmith	 film composer 
3334 	 /m/0233bn 	 Infernal Affairs	 2002 Hong Kong crime-thriller film 
3335 	 /m/0233qs 	 reggaeton	 music genre 
3336 	 /m/0234_c 	 State University of New York at Purchase	 None 
3337 	 /m/0234j5 	 Jackie Brown	 1997 thriller movie directed by Quentin Tarantino 
3338 	 /m/0234pg 	 Carl Weathers	 actor; Former American Football Player 
3339 	 /m/0235l 	 Carson City	 capital city of the state of Nevada, United States 
3340 	 /m/0235n9 	 Shrewsbury	 county town of Shropshire, West Midlands, England 
3341 	 /m/0237fw 	 Heath Ledger	 Australian actor 
3342 	 /m/0237jb 	 Brian Helgeland	 American film director 
3343 	 /m/0237w6 	 tax noncompliance	 range of activities that are unfavorable to a state's tax system 
3344 	 /m/023907r 	 real property	 subset of land that has been legally defined and the improvements to it made by human efforts 
3345 	 /m/0239kh 	 cowbell	 musical instrument 
3346 	 /m/0239zv 	 Dev Anand	 actor, producer, director – 
3347 	 /m/023b97 	 La Plata	 Capital of the Buenos Aires province, Argentina 
3348 	 /m/023cjg 	 The Lord of the Rings	 1978 film 
3349 	 /m/023fb 	 Chelsea F.C.	 professional association football club based in London 
3350 	 /m/023fxp 	 Sri Lanka national cricket team	 national sports team 
3351 	 /m/023g6w 	 Dogville	 2003 film by Lars von Trier 
3352 	 /m/023gxx 	 Remember the Titans	 2000 American sports film 
3353 	 /m/023jq1 	 Russell T Davies	 Screenwriter, former executive producer of Doctor Who 
3354 	 /m/023k2 	 corporation	 separate legal entity that has been incorporated through a legislative or registration process established through legislation 
3355 	 /m/023kzp 	 William H. Macy	 American actor, screenwriter, teacher and director in theater, film and television 
3356 	 /m/023l9y 	 Bill Nelson	 English artist and musician 
3357 	 /m/023mdt 	 Maggie Gyllenhaal	 actress 
3358 	 /m/023n39 	 Crispin Glover	 American film actor, director, screenwriter, recording artist, publisher, and author 
3359 	 /m/023nlj 	 Eric Roberts	 American actor 
3360 	 /m/023ny6 	 Bewitched	 American sitcom 
3361 	 /m/023p18 	 Iowa Writers' Workshop	 None 
3362 	 /m/023p29 	 Rick Rubin	 American music producer 
3363 	 /m/023p33 	 Cinderella	 1950 American animated musical fantasy film produced by Walt Disney and released by RKO Radio Pictures 
3364 	 /m/023p7l 	 Pocahontas	 1995 American animated epic musical romance-drama animated film produced by Walt Disney Feature Animation 
3365 	 /m/023qfd 	 Glen A. Larson	 American TV producer and writer 
3366 	 /m/023r2x 	 bass clarinet	 musical instrument 
3367 	 /m/023rwm 	 Roadrunner Records	 record label 
3368 	 /m/023s8 	 Calista Flockhart	 American actress 
3369 	 /m/023slg 	 Tony Levin	 American musician 
3370 	 /m/023sm8 	 County Durham	 ceremonial county in North East England (use Q1137286 for administrative unitary authority) 
3371 	 /m/023sng 	 Dilip Kumar	 Indian actor 
3372 	 /m/023t0q 	 Abbas Kiarostami	 Iranian film director, screenwriter, photographer and film producer 
3373 	 /m/023tp8 	 Patricia Arquette	 American actress 
3374 	 /m/023v4_ 	 Mila Kunis	 American actress 
3375 	 /m/023vcd 	 Happy Gilmore	 1996 film by Dennis Dugan 
3376 	 /m/023vrq 	 Grammy Award for Best Rap Performance by a Duo or Group	 None 
3377 	 /m/023vwt 	 Sialkot	 human settlement 
3378 	 /m/023w9s 	 Preston Sturges	 film director, screenwriter 
3379 	 /m/023wyl 	 cornerback	 defensive position in American and Canadian football 
3380 	 /m/023zd7 	 Boca Juniors	 Argentina sports club 
3381 	 /m/023zl 	 City University of New York	 Public university system in New York City 
3382 	 /m/023znp 	 Emerson College	 private coeducational university located in Boston, Massachusetts 
3383 	 /m/023zsh 	 Ioan Gruffudd	 Welsh actor 
3384 	 /m/024030 	 Padma Vibhushan	 second highest civilian award of the Republic of India; preceded by Bharat Ratna and followed by Padma Bhushan 
3385 	 /m/02404v 	 Christopher Doyle	 Australian cinematographer and film director 
3386 	 /m/0241jw 	 Andy Serkis	 British actor, director and author 
3387 	 /m/0241wg 	 Kajol	 Indian film actress 
3388 	 /m/0241y7 	 The Hunchback of Notre Dame	 1996 American animated musical drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures 
3389 	 /m/0243cq 	 The Nightmare Before Christmas	 1993 clay animation film 
3390 	 /m/0244r8 	 Lisa Gerrard	 Australian musician, singer and composer 
3391 	 /m/02465 	 Clive Barker	 author, film director and visual artist 
3392 	 /m/02482c 	 University of New Mexico	 public research university in Albuquerque, New Mexico, United States 
3393 	 /m/0248jb 	 Grammy Award for Best Traditional Blues Album	 None 
3394 	 /m/02496r 	 County Monaghan	 county in Ireland 
3395 	 /m/0249fn 	 Grammy Award for Best Contemporary Blues Album	 None 
3396 	 /m/0249kn 	 Nitty Gritty Dirt Band	 band 
3397 	 /m/024_41 	 Grammy Award for Best Orchestral Performance	 None 
3398 	 /m/024_dt 	 Grammy Award for Best Choral Performance	 None 
3399 	 /m/024_fw 	 Grammy Award for Best Opera Recording	 None 
3400 	 /m/024_ql 	 FC Schalke 04	 German association-football club 
3401 	 /m/024_vw 	 Charles B. Rangel	 Recipient of the Purple Heart and politician 
3402 	 /m/024bbl 	 Dennis Cromwell	 American actor and producer 
3403 	 /m/024bqj 	 Minato-ku	 special ward of Tokyo 
3404 	 /m/024c1b 	 Republic Pictures	 None 
3405 	 /m/024c2 	 cholera	 infectious diseases 
3406 	 /m/024cg8 	 University of Dundee	 university 
3407 	 /m/024d8w 	 Kilmarnock F.C.	 association football team in Scotland 
3408 	 /m/024dgj 	 Chris Martin	 musician, co-founder of Coldplay 
3409 	 /m/024dw0 	 Robert Wyatt	 English musician 
3410 	 /m/024dzn 	 Grammy Award for Best Album for Children	 None 
3411 	 /m/024fxq 	 Grammy Award for Best Musical Album for Children	 None 
3412 	 /m/024fz9 	 Grammy Award for Best Spoken Word Album for Children	 None 
3413 	 /m/024hbv 	 Homicide: Life on the Street	 television series 
3414 	 /m/024hh1 	 Mashhad	 holy city in Islam and second largest city in Iran 
3415 	 /m/024jvz 	 United States presidential election, 2008	 56th quadrennial presidential election 
3416 	 /m/024jwt 	 Henry Winkler	 American actor, director and writer 
3417 	 /m/024l2y 	 The Day After Tomorrow	 2004 American science fiction disaster film 
3418 	 /m/024lff 	 2 Fast 2 Furious	 2003 American film 
3419 	 /m/024lt6 	 Rushmore	 1998 film by Wes Anderson 
3420 	 /m/024mpp 	 Hulk	 2003 US superhero film directed by Ang Lee 
3421 	 /m/024mxd 	 Superman IV: The Quest for Peace	 1987 superhero film 
3422 	 /m/024my5 	 Kath Soucie	 Voice actress 
3423 	 /m/024n3z 	 Karl Urban	 New Zealand actor 
3424 	 /m/024nj1 	 India national cricket team	 Cricket team of India 
3425 	 /m/024pcx 	 Kingdom of England	 historic sovereign kingdom on the British Isles (927–1649; 1660–1707) 
3426 	 /m/024qk1 	 Communist Party of India (Marxist)	 political party 
3427 	 /m/024qqx 	 blockbuster	 term for a popular film 
3428 	 /m/024qwq 	 Rick James	 singer, songwriter, dancer, bandleader, record producer 
3429 	 /m/024rbz 	 Focus Features	 art house films division of NBCUniversal 
3430 	 /m/024rdh 	 Sony Pictures Classics	 film division of Sony Pictures Entertainment 
3431 	 /m/024rgt 	 New Line Cinema	 American film studio and distributor 
3432 	 /m/024rwx 	 Justice League	 US 2000's animated television series 
3433 	 /m/024sbq 	 chanson	 20s. and 21s. chanson musical genre 
3434 	 /m/024swd 	 Mark Goodson	 American television producer 
3435 	 /m/024t0y 	 Mark Cuban	 American billionaire entrepreneur 
3436 	 /m/024tcq 	 108th United States Congress	 Wikimedia list article 
3437 	 /m/024tj 	 Clarence Brown	 film director 
3438 	 /m/024tkd 	 107th United States Congress	 None 
3439 	 /m/024tsn 	 Forfar Athletic F.C.	 association football club 
3440 	 /m/024tv_ 	 Pakistan Peoples Party	 centre-left, progressive, and social democratic political party in Pakistan 
3441 	 /m/024vjd 	 Grammy Award for Best Chamber Music Performance	 None 
3442 	 /m/024y6w 	 Jayne Mansfield	 American actress, singer, model 
3443 	 /m/024y8p 	 University of North Carolina at Charlotte	 public research university in Charlotte, North Carolina, United States 
3444 	 /m/024yxd 	 Hal David	 American lyricist 
3445 	 /m/024zq 	 Charles Mingus Jr.	 American jazz double bassist, composer and bandleader 
3446 	 /m/02508x 	 Richard Hammond	 English motoring journalist and broadcaster 
3447 	 /m/0250f 	 Chuck Jones	 American animator, cartoon artist, screenwriter, producer, and director of animated films 
3448 	 /m/0252fh 	 James Caan	 actor 
3449 	 /m/025352 	 lyricist	 writer who specializes in writing song lyrics 
3450 	 /m/0253b6 	 Tia Carrere	 Actress, singer 
3451 	 /m/025504 	 Endemol	 creator, producer and distributor of multiplatform entertainment content 
3452 	 /m/025569 	 Warrington	 English town 
3453 	 /m/0257__ 	 Grammy Award for Best Classical Contemporary Composition	 None 
3454 	 /m/0257h9 	 magnet school	 public schools with specialized courses or curricula 
3455 	 /m/0257pw 	 Grammy Award for Best Classical Vocal Solo	 None 
3456 	 /m/0257w4 	 Grammy Award for Best Instrumental Soloist(s) Performance (with orchestra)	 None 
3457 	 /m/0257wh 	 Grammy Award for Best Instrumental Soloist Performance (without orchestra)	 None 
3458 	 /m/0257yf 	 Grammy Award for Best Small Ensemble Performance	 None 
3459 	 /m/02581c 	 Grammy Award for Best Classical Album	 None 
3460 	 /m/02581q 	 Grammy Award for Best Classical Crossover Album	 None 
3461 	 /m/02583l 	 Osgoode Hall Law School	 law school in Toronto, Ontario 
3462 	 /m/0258dh 	 The Bodyguard	 1992 film by Mick Jackson 
3463 	 /m/0259r0 	 Jason Mraz	 American singer-songwriter 
3464 	 /m/025_64l 	 Tennessee Volunteers football	 football team of the University of Tennessee 
3465 	 /m/025_nbr 	 Travis Banton	 American fashion designer 
3466 	 /m/025_ql1 	 Paul Gross	 film actor, Film Producer, Film writer, music composer, film director 
3467 	 /m/025b3k 	 Elmore Leonard	 American novelist and screenwriter 
3468 	 /m/025b5y 	 Katherine Heigl	 American actress and film producer 
3469 	 /m/025bwc 	 impresario	 person who organizes and often finances concerts, plays, or operas, performing a role similar to that of an artist manager or a film or television producer 
3470 	 /m/025cbm 	 clavinet	 musical instrument 
3471 	 /m/025cn2 	 Paul Francis Webster	 American songwriter 
3472 	 /m/025czw 	 Wrexham F.C.	 Welsh football club 
3473 	 /m/025g__ 	 J-pop	 music genre 
3474 	 /m/025h4z 	 Judd Hirsch	 American actor and writer 
3475 	 /m/025hl8 	 ovarian cancer	 female reproductive organ cancer that is located_in the ovary. 
3476 	 /m/025hwq 	 Revolution Studios	 American production company 
3477 	 /m/025hzx 	 Joe Roth	 American businessman 
3478 	 /m/025j1t 	 Tom Sizemore	 actor 
3479 	 /m/025jbj 	 Vincente Minnelli	 American stage and film director 
3480 	 /m/025jfl 	 Fox Searchlight Pictures	 American film distribution company 
3481 	 /m/025jj7 	 Nelson Riddle	 American arranger, composer, bandleader and orchestrator whose career stretched 
3482 	 /m/025l5 	 Chet Atkins	 American guitarist and record producer 
3483 	 /m/025ldg 	 Kelly Clarkson	 American singer-songwriter, actress 
3484 	 /m/025ljp 	 MADtv	 1995-2009 American sketch comedy television series 
3485 	 /m/025m8l 	 Grammy Award for Best Song Written for a Motion Picture, Television or Other Visual Media	 award 
3486 	 /m/025m8y 	 Grammy Award for Best Score Soundtrack for Visual Media	 None 
3487 	 /m/025m98 	 Grammy Award for Best Instrumental Composition	 None 
3488 	 /m/025mb9 	 Grammy Award for Best Arrangement, Instrumental and Vocals	 award given to the arranger of a musical work 
3489 	 /m/025mb_ 	 Betty White	 actress from the United States 
3490 	 /m/025mbn 	 Grammy Award for Best Arrangement, Instrumental or A Cappella	 award given to arrangers of musical pieces 
3491 	 /m/025n07 	 xXx	 2002 film by Rob Cohen 
3492 	 /m/025n3p 	 Vin Diesel	 American actor, producer, director, and screenwriter 
3493 	 /m/025ndl 	 Kingdom of Scotland	 historic sovereign kingdom on the British Isles from the 9th century and up to 1707 
3494 	 /m/025p38 	 Preity Zinta	 film actress 
3495 	 /m/025r_t 	 Derby	 city in Derbyshire, in the East Midlands region of England 
3496 	 /m/025rcc 	 University of Portland	 private Catholic university in Portland, Oregon, USA 
3497 	 /m/025rpb0 	 Hispanic and Latino Americans	 ethnic group 
3498 	 /m/025rpyx 	 Panathinaikos F.C.	 Greek association football club 
3499 	 /m/025rsfk 	 copper	 chemical element with the atomic number of 29 
3500 	 /m/025rst1 	 Mecklenburg County	 county in North Carolina, United States 
3501 	 /m/025rvx0 	 Empire of the Sun	 1987 American coming of age war film by Steven Spielberg 
3502 	 /m/025rw19 	 iron	 chemical element 26 or simple substance composed thereof 
3503 	 /m/025rxjq 	 High Fidelity	 2000 film by Stephen Frears 
3504 	 /m/025rxky 	 astrologer	 person who practices astrology 
3505 	 /m/025rzfc 	 Great Patriotic War	 historical term 
3506 	 /m/025s0s0 	 magnesium	 element with the atomic number of 12 
3507 	 /m/025s0zp 	 manganese	 chemical element with the atomic number of 25 
3508 	 /m/025s1wg 	 Spy Kids 3-D: Game Over	 2003 film by Robert Rodriguez 
3509 	 /m/025s7j4 	 potassium	 element with the atomic number of 19 
3510 	 /m/025s7x6 	 phosphorus	 chemical element with the atomic number of 15 
3511 	 /m/025s89p 	 animated series	 TV genre; set of regularly presented animated television programs 
3512 	 /m/025sc50 	 contemporary R&B	 music genre that combines elements of rhythm and blues, pop, soul, funk, hip hop, and electronic music 
3513 	 /m/025scjj 	 Julius Caesar	 1953 film by Joseph L. Mankiewicz 
3514 	 /m/025sd_y 	 harpsichordist	 person who plays the harpsichord 
3515 	 /m/025sf0_ 	 sodium	 element with the atomic number of 11 
3516 	 /m/025sf8g 	 selenium	 chemical element with atomic number of 34 
3517 	 /m/025sh_8 	 Washington metropolitan area	 None 
3518 	 /m/025snf 	 YTV	 Canadian English-language Category A cable channel 
3519 	 /m/025sppp 	 investor	 person who allocates capital with the expectation of a financial return 
3520 	 /m/025spv 	 Q14941814	 None 
3521 	 /m/025sqz8 	 zinc	 chemical element with the atomic number of 30 
3522 	 /m/025st2z 	 Bradley Bell	 American screenwriter 
3523 	 /m/025syph 	 fighter pilot	 military aviator trained to engage in air-to-air, and often air-to-ground, combat 
3524 	 /m/025t3bg 	 air travel	 form of travel in flight vehicles 
3525 	 /m/025t7ly 	 Religious Society of Friends	 family of religious movements 
3526 	 /m/025t8bv 	 CBS Records	 None 
3527 	 /m/025t9b 	 Jason Isaacs	 British actor 
3528 	 /m/025tdwc 	 T. Rajendar	 Indian actor, composer and politician 
3529 	 /m/025tjcb 	 secondary school	 institution where secondary education is provided 
3530 	 /m/025tjk_ 	 Underground Hip Hop	 music genre 
3531 	 /m/025tkqy 	 calcium	 element with the atomic number of 20 
3532 	 /m/025tlyv 	 Universal Studios Home Entertainment	 None 
3533 	 /m/025tm81 	 psychedelic music	 range of popular music styles and genres 
3534 	 /m/025tmkg 	 accountant	 practitioner of accountancy or accounting 
3535 	 /m/025tn92 	 2008 NBA Draft	 None 
3536 	 /m/025ts_z 	 24: Redemption	 television film 
3537 	 /m/025ttz4 	 University of Warsaw	 largest university in Poland 
3538 	 /m/025twgf 	 Dr. No	 1962 film by Terence Young 
3539 	 /m/025twgt 	 From Russia with Love	 1963 film in the James Bond series 
3540 	 /m/025txrl 	 Vivendi Games	 None 
3541 	 /m/025txtg 	 RCD Espanyol	 sports club in Spain 
3542 	 /m/025v1sx 	 Maryland Terrapins football	 football team of the University of Maryland 
3543 	 /m/025v26c 	 Florida State Seminoles football	 American college football team 
3544 	 /m/025v3k 	 University of Minnesota	 public research university in Minneapolis and Saint Paul, Minnesota, United States 
3545 	 /m/025vl4m 	 Robert Guza, Jr.	 American television producer and writer 
3546 	 /m/025vldk 	 Dena Higley	 American screenwriter 
3547 	 /m/025vry 	 Erich Wolfgang Korngold	 American composer of Austro-Hungarian birth 
3548 	 /m/025vw4t 	 Charles Pratt	 American television writer, producer and director 
3549 	 /m/025vwmy 	 Garin Wolf	 American screenwriter and playwright 
3550 	 /m/025x1t 	 Freakazoid!	 television series 
3551 	 /m/025x7g_ 	 geometry	 branch of mathematics that measures the shape, size and position of objects 
3552 	 /m/025xt8y 	 Trey Anastasio	 American guitarist, composer, and vocalist 
3553 	 /m/025y67 	 Kumasi	 second largest city of Ghana 
3554 	 /m/025y9fn 	 David Nutter	 American film director 
3555 	 /m/025ygqm 	 2004 Major League Baseball season	 None 
3556 	 /m/025ygws 	 2003 Major League Baseball season	 None 
3557 	 /m/026036 	 Stuyvesant High School	 None 
3558 	 /m/02607j 	 Hofstra University	 university in Nassau County, New York 
3559 	 /m/0260bz 	 Amistad	 1997 historical drama film 
3560 	 /m/0260p2 	 Atlus	 Japanese video game developer 
3561 	 /m/02613 	 Caribbean Sea	 sea of the Atlantic Ocean bounded by North, Central, and South America 
3562 	 /m/0261g5l 	 Silvio Horta	 American television producer and writer 
3563 	 /m/0261m 	 Caribbean	 region in Central America composed of many islands and countries on the surrounding coast 
3564 	 /m/0261w5 	 Fredrikstad FK	 association football club in Fredrikstad, Norway 
3565 	 /m/0261x8t 	 Kim Kardashian	 American television personality 
3566 	 /m/02624g 	 Peter Dinklage	 American actor 
3567 	 /m/0262s1 	 Hugo Award for Best Dramatic Presentation	 science fiction award 
3568 	 /m/0262x6 	 Hugo Award for Best Novella	 literary award for science fiction or fantasy short novels in English 
3569 	 /m/0262yt 	 Hugo Award for Best Novelette	 literary award for science fiction or fantasy stories in English 
3570 	 /m/0262zm 	 Hugo Award for Best Short Story	 literary award for science fiction or fantasy stories in English 
3571 	 /m/02630g 	 Gannett Company	 American newspaper publishing corporation 
3572 	 /m/02633g 	 Martin Lawrence	 American actor and director 
3573 	 /m/026390q 	 Thelma & Louise	 1991 drama movie 
3574 	 /m/0263cyj 	 NC State Wolfpack men's basketball	 None 
3575 	 /m/0263q4z 	 Dirty rap	 None 
3576 	 /m/0263tn1 	 Rob James-Collier	 British actor and model 
3577 	 /m/0263ycg 	 Wardrobe supervisor	 None 
3578 	 /m/02645b 	 Joshua Logan	 American stage and film director and writer 
3579 	 /m/02648p 	 Stargate Atlantis	 science fiction tv-show 
3580 	 /m/0264jc6 	 freak folk	 genre of folk music 
3581 	 /m/0264v8r 	 1. FC Union Berlin	 German football club 
3582 	 /m/02656h 	 EA Sports	 brand of Electronic Arts 
3583 	 /m/0265v21 	 Patrick Mulcahey	 American screenwriter 
3584 	 /m/0265vcb 	 Michael Conforti	 American actor 
3585 	 /m/0265vt 	 Nebula Award for Best Novel	 literary award 
3586 	 /m/0265wl 	 Nebula Award for Best Novella	 literary award 
3587 	 /m/0265z9l 	 Shriram Lagoo	 Indian actor 
3588 	 /m/02661h 	 Tony Shalhoub	 actor from the United States 
3589 	 /m/02662b 	 Nebula Award for Best Novelette	 award for the best science fiction or fantasy fiction in the United States 
3590 	 /m/02663p2 	 California Golden Bears football	 college football team 
3591 	 /m/02664f 	 Nebula Award for Best Short Story	 literary award given for for science fiction or fantasy short stories 
3592 	 /m/02665kn 	 Jim Beaver	 American actor 
3593 	 /m/026670 	 Paul Thomas Anderson	 American film director, screenwriter, and producer 
3594 	 /m/0266bd5 	 SV Werder Bremen	 association football club in Bremen, Germany 
3595 	 /m/0266r6h 	 Katrina Bowden	 American actress 
3596 	 /m/0266s9 	 Monk	 American television series 
3597 	 /m/0266sb_ 	 Celta Vigo	 Spanish association football club 
3598 	 /m/0266shh 	 Racing de Santander	 Spanish football club 
3599 	 /m/0267wwv 	 Jesus Christ Superstar	 1973 film adaptation of the musical of the same name 
3600 	 /m/02681_5 	 Latin Grammy Award for Song of the Year	 None 
3601 	 /m/02681vq 	 Latin Grammy Award for Record of the Year	 None 
3602 	 /m/02681xs 	 Latin Grammy Award for Album of the Year	 None 
3603 	 /m/0269kx 	 North Carolina Central University	 university 
3604 	 /m/026_dcw 	 Christopher Lloyd	 Screenwriter, producer 
3605 	 /m/026_dq6 	 Brody Jenner	 American reality television personality and model 
3606 	 /m/026_s_ 	 Merge Records	 independent record label 
3607 	 /m/026_w57 	 Lois Smith	 American actress 
3608 	 /m/026b33f 	 Celebrity Fit Club	 None 
3609 	 /m/026b7bz 	 Sheri Anderson	 American writer, television producer 
3610 	 /m/026bk 	 dance	 art form involving movement of the body 
3611 	 /m/026bt_h 	 Alabama Crimson Tide football	 None 
3612 	 /m/026c0p 	 Roy Kinnear	 British actor 
3613 	 /m/026c1 	 Drew Barrymore	 American actress, director and producer 
3614 	 /m/026ck 	 D. W. Griffith	 American film director and producer 
3615 	 /m/026cl_m 	 Time 100	 Time Magazine's annual listing of 100 influential people 
3616 	 /m/026cmdc 	 Washington State Cougars football	 football team of Washington State University 
3617 	 /m/026db_ 	 Elsevier	 academic publishing company that publishes medical and scientific literature 
3618 	 /m/026dcvf 	 Christopher Whitesell	 American screenwriter 
3619 	 /m/026dd2b 	 Gary Tomlin	 American actor 
3620 	 /m/026dg51 	 Courtney Simon	 American writer 
3621 	 /m/026dqjm 	 LSU Tigers basketball	 men's basketball team of Louisiana State University 
3622 	 /m/026dx 	 David Lynch	 American filmmaker, television director, visual artist, musician and occasional actor 
3623 	 /m/026f5s 	 Tokyo Broadcasting System Holdings	 Japanese radio & TV holding company 
3624 	 /m/026f__m 	 Meet Dave	 2008 film by Brian Robbins 
3625 	 /m/026fd 	 David Cronenberg	 Canadian film director, screenwriter and actor 
3626 	 /m/026fmqm 	 2000 Major League Baseball season	 sports season 
3627 	 /m/026fn29 	 National Book Award for Poetry	 None 
3628 	 /m/026fs38 	 Becket	 1964 film by Peter Glenville 
3629 	 /m/026g4l_ 	 Frederick M. Zollo	 American film producer 
3630 	 /m/026g51 	 Outlaw country	 genre of country music 
3631 	 /m/026g73 	 bongo drum	 type of drum 
3632 	 /m/026g801 	 Donald Sumpter	 actor 
3633 	 /m/026gb3v 	 Bob Yari	 Iranian-American film producer 
3634 	 /m/026gvfj 	 Lee Strasberg Theatre and Film Institute	 drama school 
3635 	 /m/026gyn_ 	 The Lion in Winter	 1968 historical drama film 
3636 	 /m/026h21_ 	 guest host	 substitute host, usually of a talk show 
3637 	 /m/026hh0m 	 The Invasion	 2007 film by Oliver Hirschbiegel, James McTeigue 
3638 	 /m/026hxwx 	 Epic Movie	 2007 film by Jason Friedberg and Aaron Seltzer 
3639 	 /m/026k4d 	 4AD	 record label 
3640 	 /m/026kmvf 	 Thiago Silva	 Brazilian footballer 
3641 	 /m/026kq4q 	 37th Golden Globe Awards	 None 
3642 	 /m/026kqs9 	 28th Golden Globe Awards	 None 
3643 	 /m/026l1lq 	 BYU Cougars football	 None 
3644 	 /m/026l37 	 Joe Mantegna	 American actor, producer, writer, and director 
3645 	 /m/026ldz7 	 Arizona State Sun Devils football	 None 
3646 	 /m/026lg0s 	 North Carolina Tar Heels football	 None 
3647 	 /m/026lgs 	 Contact	 1997 American science fiction drama film 
3648 	 /m/026lj 	 David Hume	 Scottish philosopher, economist, and historian 
3649 	 /m/026lyl4 	 Theoni V. Aldredge	 Greek-American stage and screen costume designer 
3650 	 /m/026m0 	 Dalton Trumbo	 American screenwriter and novelist 
3651 	 /m/026m3y 	 Queen Mary, University of London	 public research university located in London, England; a constituent college of the federal University of London 
3652 	 /m/026m9w 	 Grammy Award for Best Female Country Vocal Performance	 None 
3653 	 /m/026mfbr 	 Step Brothers	 2008 film by Adam McKay 
3654 	 /m/026mff 	 Grammy Award for Best Country Performance by a Duo or Group with Vocal	 None 
3655 	 /m/026mfs 	 Grammy Award for Best Country Collaboration with Vocals	 None 
3656 	 /m/026mg3 	 Grammy Award for Best Country Instrumental Performance	 None 
3657 	 /m/026mj 	 Delaware	 state of the United States of America 
3658 	 /m/026mml 	 Grammy Award for Best Bluegrass Album	 None 
3659 	 /m/026mmy 	 Grammy Award for Best Compilation Soundtrack for Visual Media	 None 
3660 	 /m/026mx4 	 Manipur	 Indian state 
